,artist_name,track_name,track_id,acousticness,danceability,energy,liveness,loudness,speechiness,tempo,valence
39,EARTHGANG,Swivel,7D8LAxOysvt1GHUBypnEBc,0.236,0.493,0.489,0.33,-8.644,0.447,69.419,0.438
40,Drake,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,0.101,0.831,0.502,0.122,-4.045,0.046,100.541,0.101
41,A$AP Rocky,Babushka Boi,643PW82aBMUa1FiWi5VQY7,0.304,0.897,0.743,0.137,-5.446,0.222,134.979,0.905
42,Quinn XCII,Straightjacket,51LIqkda3pTeECZUhMnool,0.153,0.838,0.546,0.0656,-6.811,0.295,137.027,0.745
43,Mura Masa,Love$ick (feat. A$AP Rocky),3sTN90bIP2cJ1783ctHykO,0.147,0.625,0.763,0.214,-4.997,0.129,88.753,0.721
44,EARTHGANG,Tequila (feat. T-Pain),3UCsep8Bqc3qSfYUC4YZh5,0.159,0.662,0.769,0.239,-5.148,0.14,173.855,0.616
45,SiR,Fire,6lfYEDqBMdeqNEszf5tQ9Q,0.22,0.678,0.439,0.303,-10.309,0.0497,132.045,0.441
46,2 Chainz,It's A Vibe,6H0AwSQ20mo62jGlPGB8S6,0.0317,0.822,0.505,0.114,-7.384,0.147,73.003,0.523
47,Daniel Caesar,CYANIDE,3uouaAVXpQR3X8RYkJyitQ,0.704,0.589,0.652,0.125,-7.498,0.373,158.49,0.486
48,Jessie Reyez,Imported (with 6LACK),5zXmmhtXrhDbYnScaYpqZg,0.199,0.726,0.636,0.111,-3.615,0.0496,111.097,0.362
49,"Tyler, The Creator",See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,0.371,0.558,0.559,0.109,-9.222,0.0959,78.558,0.62
